Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
كتاب التحصيلي علمي 46-47 (2025),98.0,4.3,8,Nasser bin Abdulaziz Al-Abdulkarim,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/711G5sHK6QL._AC_UL300_SR300,200_.jpg",1
El Sharq library المعاصر 9 تاسيس كمي 2/1 ورقي ومحوسب,107.58,4.5,218,Imad Al-Zarri,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/61bz3P6Bv4L._AC_UL300_SR300,200_.jpg",0
Coloriages mystères Pixar,109.1,4.7,2603,Jérémy Mariez,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/81yEhlMz2HL._AC_UL300_SR300,200_.jpg",0
Coloriages mystères Disney Princesses: Coloriez les chiffres et découvrez l'image,109.1,4.7,5847,Jérémy Mariez,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/81EqE1+IxzL._AC_UL300_SR300,200_.jpg",0
My First 365 Coloring Book: Jumbo Coloring Book for Kids (with Tear Out Sheets),29.0,4.6,1618,Wonder House Book s,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71ge72GnrpL._AC_UL300_SR300,200_.jpg",0
My First Library : Boxset Of 10 Board Books For Kids: Boxset for Kids (Pack-1),45.0,4.6,80641,Wonder House Book s,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg",1
The Power of your Subconscious Mind,35.0,4.5,14101,Joseph Murphy,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61WMgOHyDaL._AC_UL300_SR300,200_.jpg",0
مذكرات أخصائي نفسي - نورة محمد الكيال,80.5,0.0,0,Norah Muhammad al-Kayal,Paperback,Psychology & Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/61h6o5j-SxL._AC_UL300_SR300,200_.jpg",0
Coloriages mystères Disney - Les Grands classiques Tome 11,109.1,4.5,779,Jérémy Mariez,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/816OVZU20cL._AC_UL300_SR300,200_.jpg",0
فاتتني صلاة,26.0,4.7,300,Islam Jamal.,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/61Cc+xopBNL._AC_UL300_SR300,200_.jpg",0
Iron Flame: 2,89.0,4.6,12895,Rebecca Yar r o s,Hardcover,Literature & Fiction,"https://images-eu.ssl-images-amazon.com/images/I/917Bc9C1MlL._AC_UL300_SR300,200_.jpg",0
Creative Haven Main Street Coloring Book,35.0,4.7,2466,Teresa Goodridg e,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91XP39IVwfL._AC_UL300_SR300,200_.jpg",0
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",55.0,4.7,20420,Morgan Housel,Paperback,Business & Finance,"https://images-eu.ssl-images-amazon.com/images/I/81wZXiu4OiL._AC_UL300_SR300,200_.jpg",0
100 First Words (Ms. Rachel),42.07,4.8,119,Ms. Rachel,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/811bt83wB7L._AC_UL300_SR300,200_.jpg",0
101 Unicorn Colouring Book: Fun Activity Colouring Book for Children,21.95,4.6,2313,Wonder House Book s,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71Xde5joqVL._AC_UL300_SR300,200_.jpg",0
First 100 Words: A Padded Board Book,49.0,4.7,36315,Roger Priddy,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71aMpgf078L._AC_UL300_SR300,200_.jpg",0
The Housemaid,76.26,4.7,15956,Freida McFadden,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/81AHTyq2wVL._AC_UL300_SR300,200_.jpg",1
Golden Books The Tale of Peter Rabbit,9.0,4.8,1894,Beatrix P o t te r,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/91aZJmKeqUL._AC_UL300_SR300,200_.jpg",0
