Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Mean_Red,Mean_Green,Mean_Blue,Contrast,Edge_Complexity,Color_Variance,Color_Saturation,Sharpness,Interesting
كتاب التحصيلي علمي 46-47 (2025),98.0,4.3,8,Nasser bin Abdulaziz Al-Abdulkarim,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/711G5sHK6QL._AC_UL300_SR300,200_.jpg",172.31386666666666,160.20998333333333,137.70255,102.57594713766966,13.26425,11897.95506033778,86.32843333333334,1692.9593042441663,1
El Sharq library المعاصر 9 تاسيس كمي 2/1 ورقي ومحوسب,107.58,4.5,218,Imad Al-Zarri,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/61bz3P6Bv4L._AC_UL300_SR300,200_.jpg",217.7949833333333,222.9316,218.86361666666667,47.47496935209356,39.47825,2771.0540515511107,38.9206,1519.4456175641667,0
Coloriages mystères Pixar,109.1,4.7,2603,Jérémy Mariez,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/81yEhlMz2HL._AC_UL300_SR300,200_.jpg",220.7053833333333,199.9220833333333,192.17585,68.99040802038877,18.81475,5396.8274924814505,51.034083333333335,1044.7725414930555,0
Coloriages mystères Disney Princesses: Coloriez les chiffres et découvrez l'image,109.1,4.7,5847,Jérémy Mariez,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/81EqE1+IxzL._AC_UL300_SR300,200_.jpg",217.3215,203.41356666666667,207.22755,66.90014494486043,19.1505,5175.293968794784,55.56443333333333,1140.6345667155556,0
My First 365 Coloring Book: Jumbo Coloring Book for Kids (with Tear Out Sheets),29.0,4.6,1618,Wonder House Book s,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71ge72GnrpL._AC_UL300_SR300,200_.jpg",209.32488333333333,206.4889,206.5987,62.91310475016755,24.072,5325.032626759228,63.7165,1195.6134968641668,0
My First Library : Boxset Of 10 Board Books For Kids: Boxset for Kids (Pack-1),45.0,4.6,80641,Wonder House Book s,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg",199.2457833333333,171.28025,133.10333333333332,67.20546605864735,36.29075,7922.5271478813565,128.40736666666666,3867.723033465556,1
The Power of your Subconscious Mind,35.0,4.5,14101,Joseph Murphy,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61WMgOHyDaL._AC_UL300_SR300,200_.jpg",243.9457333333333,239.7443333333333,238.81156666666664,38.62752770821463,18.037,1613.373803407284,10.9589,1736.9988030122215,0
مذكرات أخصائي نفسي - نورة محمد الكيال,80.5,0.0,0,Norah Muhammad al-Kayal,Paperback,Psychology & Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/61h6o5j-SxL._AC_UL300_SR300,200_.jpg",233.1873833333333,232.0015833333333,231.7829,49.42240460492645,15.47,2484.3308416869145,8.619633333333333,970.6029078888888,0
Coloriages mystères Disney - Les Grands classiques Tome 11,109.1,4.5,779,Jérémy Mariez,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/816OVZU20cL._AC_UL300_SR300,200_.jpg",214.59005,200.68036666666663,196.7008333333333,68.22567366142715,34.1785,5375.293391493056,50.93258333333333,2044.64394476,0
فاتتني صلاة,26.0,4.7,300,Islam Jamal.,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/61Cc+xopBNL._AC_UL300_SR300,200_.jpg",231.69051666666667,231.92305,233.22425,33.49261938669805,13.83375,1146.1927681370064,6.192566666666667,962.7785869997222,0
Iron Flame: 2,89.0,4.6,12895,Rebecca Yar r o s,Hardcover,Literature & Fiction,"https://images-eu.ssl-images-amazon.com/images/I/917Bc9C1MlL._AC_UL300_SR300,200_.jpg",226.4483833333333,207.65836666666667,192.86068333333333,68.26561317739986,20.6975,5599.447204379137,50.900083333333335,1742.5792003975002,0
Creative Haven Main Street Coloring Book,35.0,4.7,2466,Teresa Goodridg e,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91XP39IVwfL._AC_UL300_SR300,200_.jpg",221.52591666666663,215.20661666666663,209.61855,57.548985391191344,36.448,3677.787235980709,31.35011666666667,3213.5188142400007,0
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",55.0,4.7,20420,Morgan Housel,Paperback,Business & Finance,"https://images-eu.ssl-images-amazon.com/images/I/81wZXiu4OiL._AC_UL300_SR300,200_.jpg",245.11465,245.6858833333333,245.19046666666668,31.78918986026888,16.56225,1032.1748243333332,1.42465,1953.3129889997224,0
100 First Words (Ms. Rachel),42.07,4.8,119,Ms. Rachel,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/811bt83wB7L._AC_UL300_SR300,200_.jpg",205.84206666666665,199.10436666666664,175.41965,54.874474232436974,25.8995,4641.061018480709,77.23721666666667,1167.1125295641668,0
101 Unicorn Colouring Book: Fun Activity Colouring Book for Children,21.95,4.6,2313,Wonder House Book s,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71Xde5joqVL._AC_UL300_SR300,200_.jpg",229.30781666666667,211.3961833333333,214.44448333333327,58.254553524049854,28.21575,3657.14037067034,40.099716666666666,1636.4629008263894,0
First 100 Words: A Padded Board Book,49.0,4.7,36315,Roger Priddy,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/71aMpgf078L._AC_UL300_SR300,200_.jpg",215.138,201.95166666666665,179.37955,62.436604201595294,21.3265,5615.593435450341,66.5334,1162.3580289930558,0
The Housemaid,76.26,4.7,15956,Freida McFadden,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/81AHTyq2wVL._AC_UL300_SR300,200_.jpg",170.16806666666668,186.97741666666667,204.57471666666663,88.88833468676522,14.92175,7973.30211244,78.2585,1871.565713582222,1
Golden Books The Tale of Peter Rabbit,9.0,4.8,1894,Beatrix P o t te r,Hardcover,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/91aZJmKeqUL._AC_UL300_SR300,200_.jpg",218.14481666666663,214.0782333333333,201.96826666666664,44.27751091950255,36.35875,2396.588379399969,31.40108333333333,1245.3995873263889,0
"Cambridge University Press Unlock Level 3 Reading, Writing, & Critical Thinking Students Book",126.0,4.7,18,Carolyn Westbrook,Paperback,Education & Reference,"https://images-eu.ssl-images-amazon.com/images/I/71-pRNI-CUL._AC_UL300_SR300,200_.jpg",157.17366666666666,156.12655,159.63175,105.12452765594902,16.90225,10951.629078310983,48.57855,1614.336232048889,1
الليالي البيضاء,29.0,4.6,61,Dustowski.,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/813axjGRhzL._AC_UL300_SR300,200_.jpg",172.81405,192.24715,202.9288,78.30882970945336,12.00625,6404.976344444443,57.1223,582.6987242122221,0
Best of Babies,109.1,4.7,170,Collectif,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/716wZKBSleL._AC_UL300_SR300,200_.jpg",216.30838333333327,213.46896666666663,204.11336666666668,61.37200398813552,18.938,4366.5886970910815,38.78798333333334,849.3108710122223,0
A Man Called Ove,40.0,4.6,18053,Fredrik Backman,Paperback,Comics & Humor,"https://images-eu.ssl-images-amazon.com/images/I/81g2oEdeGTL._AC_UL300_SR300,200_.jpg",209.50816666666665,213.00756666666663,209.5868333333333,59.800399346483374,21.199,3757.0628126013576,19.222716666666667,1275.0184546597222,0
Colouring Books For Kids (Pack Of 12 Books For Children ),44.51,4.4,5345,Wonder House Book s,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81ZiMSpnmDL._AC_UL300_SR300,200_.jpg",240.762,216.76181666666668,205.08273333333327,54.052801689826616,27.7865,4242.448805233057,44.701816666666666,1450.7476721330554,0
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness: OVER 2 MILLION COPIES SOLD",69.0,4.7,25801,Vex King,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/61EuEW9rABL._AC_UL300_SR300,200_.jpg",251.38005,251.08,249.77276666666663,13.646745588835048,9.55825,219.3095533036728,2.2302166666666667,486.0878660433334,0
White Nights,19.0,4.6,1489,Fyodor Dostoyevsky,Mass Market Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/51lMJWnnRDL._AC_UL300_SR300,200_.jpg",153.58265,153.58265,153.58265,122.77843799154704,7.2165,15074.544835644165,0.0,1647.126095448889,1
Orientalism: Western Conceptions of the Orient,84.29,4.6,1625,Edward W. Said,Paperback,History & Culture,"https://images-eu.ssl-images-amazon.com/images/I/81CGJE1QyKL._AC_UL300_SR300,200_.jpg",198.34826666666663,194.1298,180.95506666666665,75.47582392026823,18.09225,6646.534577279507,47.5843,1351.513423732222,0
Mandala: Colouring Books For Adults With Tear Out Sheets (Adult Colouring Book) Paperback,25.58,4.5,5040,Wonder House Book s,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/91-40jIWD4S._AC_UL300_SR300,200_.jpg",225.18031666666667,220.67956666666663,219.89296666666667,49.46476636650914,35.1815,2586.8285740975,20.46255,2561.9210591975,0
الفقراء,39.0,4.6,53,various,Paperback,Fiction Genres,"https://images-eu.ssl-images-amazon.com/images/I/61G-1AW1NAL._AC_UL300_SR300,200_.jpg",179.40358333333333,201.36305,192.58726666666664,76.89203431952855,9.928,6502.45442831,48.5576,717.1422566041667,0
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,89.0,4.8,72969,James Clea r,Hardcover,Business & Finance,"https://images-eu.ssl-images-amazon.com/images/I/81ANaVZk5LL._AC_UL300_SR300,200_.jpg",247.17391666666663,244.45626666666664,237.7923333333333,22.457000197018505,15.03225,634.845758851821,10.516666666666667,1125.9490871330556,0
GRAPHIX Dog Man 10: Mothering Heights (The New BlockbUSting International Bestseller),50.91,4.9,22481,Dav Pilkey,Hardcover,Mysteries & Detective Stories for Children,"https://images-eu.ssl-images-amazon.com/images/I/81Cx8j-Db4L._AC_UL300_SR300,200_.jpg",180.65081666666663,197.80281666666667,199.6485166666667,83.10544058938352,24.6415,7593.566335041945,65.01378333333334,3063.7542481663886,1
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",42.0,4.6,8309,Mitch Alb o m,Paperback,Psychology & Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/71nUyVAUJfL._AC_UL300_SR300,200_.jpg",236.51683333333327,230.76355,222.6151833333333,40.84043917116139,13.0475,1823.123432630988,19.3173,1245.5288225975005,0
"Handwriting Practice Book For Kids Ages 6-10: Printing Workbook For Grades 1, 2 & 3, Learn To Trace Alphabet Letters And Numbers 1-100, Sight Words, 101 Jokes: Improve Writing Penmanship",38.32,4.7,5359,Hippid o o,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/61DEi2dDNAL._AC_UL300_SR300,200_.jpg",208.39836666666667,230.8642,231.1465,46.15498196264649,22.6015,3582.356825680987,54.00821666666667,1249.4425555975,0
Blippi: I Like That! Coloring Book with Crayons: Blippi Coloring Book with Crayons,27.99,4.7,3552,Editors of Studio Fun International,Paperback,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81ent8SDQkL._AC_UL300_SR300,200_.jpg",205.4764166666667,207.19221666666667,198.6213833333333,59.47013304480148,32.3765,4352.630997074044,49.05223333333333,1375.9051164530556,0
"Brown Bear, Brown Bear, What Do You See?",39.0,4.9,49653,Bill Martin,Board book,Children & Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81kZ3Gl3WKL._AC_UL300_SR300,200_.jpg",225.6659,206.0052,189.02113333333327,66.10824538477068,22.03625,5680.321286630988,55.89758333333333,1490.6223631455557,0
The Four Agreements: Practical Guide to Personal Freedom: A Practical Guide to Personal Freedom (Toltec Wisdom): 1,55.16,4.8,77045,Don Miguel Ruiz,Paperback,Self-Help & Personal Development,"https://images-eu.ssl-images-amazon.com/images/I/91rR9gMuOVL._AC_UL300_SR300,200_.jpg",216.6059,197.48121666666665,169.11426666666668,64.70327982923061,28.6535,5878.7834475651525,70.33363333333334,1635.7518116441668,0
Baby Touch And Feel: Animals (Baby Touch And Feel (Dk Publishing)),29.0,4.7,11507,DK,Board book,Activity Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/71JgyMLYYSL._AC_UL300_SR300,200_.jpg",226.70616666666663,223.68646666666663,211.49455,46.51685343227764,18.82325,2972.1858432295985,40.82905,643.8615685233333,0
Coloriages mystères Disney - Les Grands classiques Tome 10,109.1,4.8,561,Jérémy Mariez,Paperback,"Arts, Crafts, & Hobbies","https://images-eu.ssl-images-amazon.com/images/I/81lpjslIBgL._AC_UL300_SR300,200_.jpg",203.0641,200.87086666666667,197.6105,70.8112187447704,32.283,5759.562903642469,55.91655,1846.5889427197224,0
