Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Mean_Red,Mean_Green,Mean_Blue,Contrast,Edge_Complexity,Color_Variance,Color_Saturation,Sharpness,Interesting
يقولون الاولين,58.0,5.0,73,Walid Al-Anazi,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/e/7/6/1e761c6ed4a5cad1a91dce3300843b80c41fba37_643542.jpg",172.01704489795918,156.05381224489795,148.11257959183675,78.27784301019945,12.693795918367346,6369.722569608285,44.73075102040816,423.4699419292628,1
صفحة واحدة في المرة رفيق مبدع يومي,59.0,4.5,37,Adam J. Kertz.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/462372.jpg",243.9303102040816,220.1817142857143,124.43574693877552,35.921743858683,8.44726530612245,5995.211455275827,127.12409795918369,845.0752326487963,0
المعاصر 9 تأسيس كمي ورقمي ومحوسب مع بنك المحوسب الجديد 80 اصدار,120.0,4.7,29,Imad Al-Zarri,Paperback,Education & Reference,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/e/8/3/fe8352d1794102cd8bee79a01b577b1f82c2036c_641633.jpg",221.61555102040816,231.0873795918368,225.01789387755105,46.90559194734066,19.47991836734694,3182.6216720877355,39.2373387755102,522.9494166966431,0
الاب الغني الاب الفقير ما يعلمه الاثرياء ولا يعلمه الفقراء,79.0,5.0,24,Robert T. Kiusaki,Paperback,Business & Finance,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479220.jpg",145.2482612244898,130.96608979591838,138.02702857142856,94.61465110916872,15.302081632653062,8873.27898199261,65.61336326530612,685.8687263434236,1
مصحف القيام مقاس 25×35,89.0,5.0,20,Fatima.,غلاف مقوى فني,Religion & Spirituality,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/3/2/e/932ecff3798b1e39d71c4dc3b859cdf97c75d63f_584370.jpg",140.90270204081634,142.4383836734694,121.7851836734694,85.21960383479417,42.307102040816325,7501.813667904863,73.47708571428572,2666.916205421074,1
ابق قويا 365 يوما في السنة,69.0,4.8,17,Demi Lovato.,غلاف مقوى,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/419110.jpg",245.4005551020408,247.98982857142852,248.9434204081633,32.14365190188577,7.1254285714285714,1043.8607051404065,6.601877551020408,558.9771591836735,0
واختفي كل شيء,37.0,4.9,91,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/3/d/a/d3da9f41481911108f522382e7c43a991179e098_296955.jpg",134.95458775510204,186.0046448979592,175.71769795918368,78.69138670909808,15.872448979591836,8225.963735334159,109.25497959183672,510.8949402422991,1
المعاصر اللفظي 9 ورقي ومحوسب 3 أجزاء,96.0,4.9,15,Osman Abdullah,Paperback,Education & Reference,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/f/5/8/5f58c45a3a2c46a467f5b9b8aa024cf2e43e4f60_641634.jpg",236.7524163265306,239.6399755102041,233.5806857142857,36.88995654618172,16.71134693877551,1934.5103357911687,23.06709387755102,437.5344774314702,0
من الذي قتل السيد روجر أكرويد,37.0,5.0,13,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/296952.jpg",161.29797551020408,135.34236734693877,116.52849795918368,97.68102942007742,13.041428571428572,10706.790999424393,112.66465306122448,725.8624991386254,1
ليلة لا تنتهي,37.0,4.3,19,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411827.jpg",126.332,126.21688979591836,109.03383673469388,107.6680860695806,12.03808163265306,11960.388483128649,62.3382612244898,686.1585762481632,1
