Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
كتاب التحصيلي علمي 46-47 (2025),SARآ 98.00,4.3 out of 5 stars,8,Nasser bin Abdulaziz Al-Abdulkarim,Paperback,Graduate School Test Guides,"https://images-eu.ssl-images-amazon.com/images/I/711G5sHK6QL._AC_UL300_SR300,200_.jpg"
El Sharq library المعاصر 9 تاسيس كمي 2/1 ورقي ومحوسب,SARآ 107.58,4.5 out of 5 stars,218, عماد الجزيري,Paperback,Graduate School Test Guides,"https://images-eu.ssl-images-amazon.com/images/I/61bz3P6Bv4L._AC_UL300_SR300,200_.jpg"
Coloriages mystères Pixar,SARآ 109.10,4.7 out of 5 stars,"2,603",Jérémy Mariez,Paperback,Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/81yEhlMz2HL._AC_UL300_SR300,200_.jpg"
Coloriages mystères Disney Princesses: Coloriez les chiffres et découvrez l'image,SARآ 109.10,4.7 out of 5 stars,"5,847",Jérémy Mariez,Paperback, Sports & Outdoors,"https://images-eu.ssl-images-amazon.com/images/I/81EqE1+IxzL._AC_UL300_SR300,200_.jpg"
My First 365 Coloring Book: Jumbo Coloring Book for Kids (with Tear Out Sheets),SARآ 29.00,4.6 out of 5 stars,"1,618",Wonder House Books,Paperback,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/71ge72GnrpL._AC_UL300_SR300,200_.jpg"
My First Library : Boxset Of 10 Board Books For Kids: Boxset for Kids (Pack-1),SARآ 45.00,4.6 out of 5 stars,"80,641",Wonder House Books,Board book,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg"
The Power of your Subconscious Mind,SARآ 35.00,4.5 out of 5 stars,"14,101",Joseph Murphy,Paperback,Self-Esteem,"https://images-eu.ssl-images-amazon.com/images/I/61WMgOHyDaL._AC_UL300_SR300,200_.jpg"
مذكرات أخصائي نفسي - نورة محمد الكيال,SARآ 80.50,,, نورة محمد الكيال,Paperback,Psychology & Counseling,"https://images-eu.ssl-images-amazon.com/images/I/61h6o5j-SxL._AC_UL300_SR300,200_.jpg"
Coloriages mystères Disney - Les Grands classiques Tome 11,SARآ 109.10,4.5 out of 5 stars,779,Jérémy Mariez,Paperback,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/816OVZU20cL._AC_UL300_SR300,200_.jpg"
فاتتني صلاة,SARآ 26.00,4.7 out of 5 stars,300,اسلام جمال ,Paperback,Literary Fiction,"https://images-eu.ssl-images-amazon.com/images/I/61Cc+xopBNL._AC_UL300_SR300,200_.jpg"
Iron Flame: 2,SARآ 89.00,4.6 out of 5 stars,"12,895",Rebecca Yarros,Hardcover,Literature & Fiction,"https://images-eu.ssl-images-amazon.com/images/I/917Bc9C1MlL._AC_UL300_SR300,200_.jpg"
Creative Haven Main Street Coloring Book,SARآ 35.00,4.7 out of 5 stars,"2,466",Teresa Goodridge,Paperback,Crafts & Hobbies,"https://images-eu.ssl-images-amazon.com/images/I/91XP39IVwfL._AC_UL300_SR300,200_.jpg"
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",SARآ 55.00,4.7 out of 5 stars,"20,420",Morgan Housel,Paperback,Finance,"https://images-eu.ssl-images-amazon.com/images/I/81wZXiu4OiL._AC_UL300_SR300,200_.jpg"
100 First Words (Ms. Rachel),SARآ 42.07,4.8 out of 5 stars,119,Ms. Rachel,Board book,Early Learning for Children,"https://images-eu.ssl-images-amazon.com/images/I/811bt83wB7L._AC_UL300_SR300,200_.jpg"
101 Unicorn Colouring Book: Fun Activity Colouring Book for Children,SARآ 21.95,4.6 out of 5 stars,"2,313",Wonder House Books,Paperback,Children's Books on Crafts & Hobbies,"https://images-eu.ssl-images-amazon.com/images/I/71Xde5joqVL._AC_UL300_SR300,200_.jpg"
First 100 Words: A Padded Board Book,SARآ 49.00,4.7 out of 5 stars,"36,315",Roger Priddy,Board book,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/71aMpgf078L._AC_UL300_SR300,200_.jpg"
The Housemaid,SARآ 76.26,4.7 out of 5 stars,"15,956",Freida McFadden,Paperback,Psychological Fiction,"https://images-eu.ssl-images-amazon.com/images/I/81AHTyq2wVL._AC_UL300_SR300,200_.jpg"
Golden Books The Tale of Peter Rabbit,SARآ 9.00,4.8 out of 5 stars,"1,894",Beatrix Potter,Hardcover,Early Learning for Children,"https://images-eu.ssl-images-amazon.com/images/I/91aZJmKeqUL._AC_UL300_SR300,200_.jpg"
"Cambridge University Press Unlock Level 3 Reading, Writing, & Critical Thinking Students Book",SARآ 126.00,4.7 out of 5 stars,18,Carolyn Westbrook,Paperback,Higher & Continuing Education,"https://images-eu.ssl-images-amazon.com/images/I/71-pRNI-CUL._AC_UL300_SR300,200_.jpg"
الليالي البيضاء,SARآ 29.00,4.6 out of 5 stars,61,دوستويفسكي ,Paperback,Literary Fiction,"https://images-eu.ssl-images-amazon.com/images/I/813axjGRhzL._AC_UL300_SR300,200_.jpg"
Best of Babies,SARآ 109.10,4.7 out of 5 stars,170,Collectif,Paperback,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/716wZKBSleL._AC_UL300_SR300,200_.jpg"
A Man Called Ove,SARآ 40.00,4.6 out of 5 stars,"18,053",Fredrik Backman,Paperback,Humorous Fiction,"https://images-eu.ssl-images-amazon.com/images/I/81g2oEdeGTL._AC_UL300_SR300,200_.jpg"
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,SARآ 65.00,4.7 out of 5 stars,"12,555",,Paperback,Motivational Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/71AHFDEpkdL._AC_UL300_SR300,200_.jpg"
Colouring Books For Kids (Pack Of 12 Books For Children ),SARآ 44.51,4.4 out of 5 stars,"5,345",Wonder House Books,Paperback,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/81ZiMSpnmDL._AC_UL300_SR300,200_.jpg"
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness: OVER 2 MILLION COPIES SOLD",SARآ 69.00,4.7 out of 5 stars,"25,801",Vex King,Paperback,Motivational Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/61EuEW9rABL._AC_UL300_SR300,200_.jpg"
White Nights,SARآ 19.00,4.6 out of 5 stars,"1,489",Fyodor Dostoyevsky,Mass Market Paperback,Genre Fiction,"https://images-eu.ssl-images-amazon.com/images/I/51lMJWnnRDL._AC_UL300_SR300,200_.jpg"
Orientalism: Western Conceptions of the Orient,SARآ 84.29,4.6 out of 5 stars,"1,625",Edward W. Said,Paperback,History,"https://images-eu.ssl-images-amazon.com/images/I/81CGJE1QyKL._AC_UL300_SR300,200_.jpg"
Mandala: Colouring Books For Adults With Tear Out Sheets (Adult Colouring Book) Paperback,SARآ 25.58,4.5 out of 5 stars,"5,040",Wonder House Books,Paperback,Drawing,"https://images-eu.ssl-images-amazon.com/images/I/91-40jIWD4S._AC_UL300_SR300,200_.jpg"
الفقراء,SARآ 39.00,4.6 out of 5 stars,53,various,Paperback,Literary Fiction,"https://images-eu.ssl-images-amazon.com/images/I/61G-1AW1NAL._AC_UL300_SR300,200_.jpg"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,SARآ 89.00,4.8 out of 5 stars,"72,969",James Clear,Hardcover,Business Management,"https://images-eu.ssl-images-amazon.com/images/I/81ANaVZk5LL._AC_UL300_SR300,200_.jpg"
GRAPHIX Dog Man 10: Mothering Heights (The New BlockbUSting International Bestseller),SARآ 50.91,4.9 out of 5 stars,"22,481",Dav Pilkey,Hardcover,Mysteries & Detective Stories for Children,"https://images-eu.ssl-images-amazon.com/images/I/81Cx8j-Db4L._AC_UL300_SR300,200_.jpg"
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",SARآ 42.00,4.6 out of 5 stars,"8,309",Mitch Albom,Paperback,Philosophy,"https://images-eu.ssl-images-amazon.com/images/I/71nUyVAUJfL._AC_UL300_SR300,200_.jpg"
"Handwriting Practice Book For Kids Ages 6-10: Printing Workbook For Grades 1, 2 & 3, Learn To Trace Alphabet Letters And Numbers 1-100, Sight Words, 101 Jokes: Improve Writing Penmanship",SARآ 38.32,4.7 out of 5 stars,"5,359",Hippidoo,Paperback,Education Studies & Teaching,"https://images-eu.ssl-images-amazon.com/images/I/61DEi2dDNAL._AC_UL300_SR300,200_.jpg"
Blippi: I Like That! Coloring Book with Crayons: Blippi Coloring Book with Crayons,SARآ 27.99,4.7 out of 5 stars,"3,552",Editors of Studio Fun International,Paperback,Education Studies & Teaching,"https://images-eu.ssl-images-amazon.com/images/I/81ent8SDQkL._AC_UL300_SR300,200_.jpg"
"Brown Bear, Brown Bear, What Do You See?",SARآ 39.00,4.9 out of 5 stars,"49,653",Bill Martin,Board book,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/81kZ3Gl3WKL._AC_UL300_SR300,200_.jpg"
The Four Agreements: Practical Guide to Personal Freedom: A Practical Guide to Personal Freedom (Toltec Wisdom): 1,SARآ 55.16,4.8 out of 5 stars,"77,045",Don Miguel Ruiz,Paperback,Motivational Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/91rR9gMuOVL._AC_UL300_SR300,200_.jpg"
Baby Touch And Feel: Animals (Baby Touch And Feel (Dk Publishing)),SARآ 29.00,4.7 out of 5 stars,"11,507",DK,Board book,Activity Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/71JgyMLYYSL._AC_UL300_SR300,200_.jpg"
Coloriages mystères Disney - Les Grands classiques Tome 10,SARآ 109.10,4.8 out of 5 stars,561,Jérémy Mariez,Paperback,Drawing,"https://images-eu.ssl-images-amazon.com/images/I/81lpjslIBgL._AC_UL300_SR300,200_.jpg"
الاطلس المصور للاطفال - العالم,SARآ 29.00,4.5 out of 5 stars,127,مجموعة من المؤلفين ,Hardcover,Explore the World Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/81LdXwj8lnL._AC_UL300_SR300,200_.jpg"
Coloriages Mystères Disney Portraits,SARآ 109.10,4.6 out of 5 stars,"4,828",Christophe-Alexis Perez,Paperback,Activity Books for Children,"https://images-eu.ssl-images-amazon.com/images/I/81RQHuIg0ZL._AC_UL300_SR300,200_.jpg"
A Curse For True Love: the thrilling final book in the Once Upon a Broken: 3,SARآ 75.04,4.5 out of 5 stars,413,Stephanie Garber,Paperback,Romantic Fantasy,"https://images-eu.ssl-images-amazon.com/images/I/91EHaC+M-RL._AC_UL300_SR300,200_.jpg"
No Hitting!,SARآ 25.00,4.4 out of 5 stars,"1,015",Karen Katz,Paperback,Children's Books on Social Skills,"https://images-eu.ssl-images-amazon.com/images/I/71UvyNwcMDL._AC_UL300_SR300,200_.jpg"
The Art of Sourdough Scoring: Your All-In-One Guide to Perfect Loaves with Gorgeous Designs,SARآ 102.19,4.5 out of 5 stars,168,Brittany Wood,Paperback,"Crafts, Hobbies & Home","https://images-eu.ssl-images-amazon.com/images/I/91G4u-eoQDL._AC_UL300_SR300,200_.jpg"
Random House Books for Young Readers The Dragon's Promise: 2,SARآ 49.00,4.6 out of 5 stars,243,Elizabeth Lim,Paperback,Fantasy for Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/A1XKp-yYXWL._AC_UL300_SR300,200_.jpg"
The Art Of Cuphead,SAR228.47,4.9 out of 5 stars,"3,581",Studio MDHR,Hardcover,Digital Art,"https://images-eu.ssl-images-amazon.com/images/I/91EaniW+yML._AC_UL300_SR300,200_.jpg"
Coloriages mystأ¨res Disney - Mickey and friends,SARآ 109.10,4.8 out of 5 stars,611,Jérémy Mariez,Paperback,Drawing,"https://images-eu.ssl-images-amazon.com/images/I/81gX7wE7VmL._AC_UL300_SR300,200_.jpg"
Batman: The Golden Age Omnibus Vol. 1 (2023 Editio,SARآ 115.12,4.9 out of 5 stars,25,Bob Kane,Hardcover,Manga Comics & Graphic Novels,"https://images-eu.ssl-images-amazon.com/images/I/81fY7Gc-dIL._AC_UL300_SR300,200_.jpg"
"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",SARآ 30.00,4.7 out of 5 stars,"40,355",Viktor E Frankl,Paperback,Textbooks and study guide,"https://images-eu.ssl-images-amazon.com/images/I/61157LApbuL._AC_UL300_SR300,200_.jpg"
DK Children Baby Touch And Feel Mealtime,SARآ 29.00,4.5 out of 5 stars,312,DK,Board book,Children's Early Learning Books on the Alphabet,"https://images-eu.ssl-images-amazon.com/images/I/71Zw8OYPrIL._AC_UL300_SR300,200_.jpg"
The Food For Life Cookbook: 100+ Recipes Created with ZOE,SARآ 147.91,4.5 out of 5 stars,872,Tim Spector,Hardcover,Celebrity & TV Show Cookbooks,"https://images-eu.ssl-images-amazon.com/images/I/71y71Q+YuQL._AC_UL300_SR300,200_.jpg"
"Food for Life: The New Science of Eating Well, by the #1 bestsell",SARآ 108.87,4.6 out of 5 stars,"1,182",Tim Spector,Paperback,Diets,"https://images-eu.ssl-images-amazon.com/images/I/71dKEGV5j0L._AC_UL300_SR300,200_.jpg"
Why Has Nobody Told Me This Before?: The No 1 Sunday Times Bestseller 2022,SAR49.00,4.6 out of 5 stars,"8,910",Dr Julie Smith,Paperback,Psychological Therapy,"https://images-eu.ssl-images-amazon.com/images/I/61WA9ViLmML._AC_UL300_SR300,200_.jpg"
ONEWorld Publications Sweet Bean Paste: The International Bestseller,SARآ 77.99,4.7 out of 5 stars,658,Durian Sukegawa,Paperback,Baking,"https://images-eu.ssl-images-amazon.com/images/I/71M5WKI6dJL._AC_UL300_SR300,200_.jpg"
"Shifrat Da Vinci: The Da Vinci Code (Arabic Edition), Dan Brown, The Arab Science Publishers",SARآ 64.00,4.3 out of 5 stars,50,دان براون ,Paperback,Historical Mystery,"https://images-eu.ssl-images-amazon.com/images/I/91dDl4qglFL._AC_UL300_SR300,200_.jpg"
A Game of Thrones: 1,SARآ 39.37,4.6 out of 5 stars,311,George R. R. Martin,Mass Market Paperback,Poetry Anthologies,"https://images-eu.ssl-images-amazon.com/images/I/81dvjub+IRL._AC_UL300_SR300,200_.jpg"
A Good Girl'S Guide To Murder,SAR49.00,4.7 out of 5 stars,"11,757",Holly Jackson,Paperback,Mysteries & Thrillers for Young Adults,"https://images-eu.ssl-images-amazon.com/images/I/81E3hDPr3eL._AC_UL300_SR300,200_.jpg"
"Peter Pauper Press Celestial Journal (Diary, Notebook)",SARآ 62.46,4.9 out of 5 stars,"9,548",Inc Peter Pauper Press,Diary,Antiques & Collectibles,"https://images-eu.ssl-images-amazon.com/images/I/A15c+pr-6sL._AC_UL300_SR300,200_.jpg"
Llama Llama Nighty-Night,SAR29.00,4.8 out of 5 stars,3.244,Anna Dewdney,Board book,Children's Books on Family Life,"https://images-eu.ssl-images-amazon.com/images/I/81VDjQQ+GlL._AC_UL300_SR300,200_.jpg"
The Diary of a Bookseller,SARآ 84.29,4.5 out of 5 stars,771,Shaun Bythell,Paperback,Literary Essays & Correspondence,"https://images-eu.ssl-images-amazon.com/images/I/81wdElKiO2L._AC_UL300_SR300,200_.jpg"
Inner Traditions International Muhammad: His Life Based on the Earliest Sources,SARآ 62.00,4.8 out of 5 stars,"1,905",Martin Lings,Paperback,Islam,"https://images-eu.ssl-images-amazon.com/images/I/81T2sIksH4L._AC_UL300_SR300,200_.jpg"
"Teach Yourself Short Stories in English for Beginners: Read for pleasure at your level, expand your vocabulary and learn English the fun way!",SAR74.25,4.7 out of 5 stars,"1,006",Olly Richards,Paperback,Foreign Language Study & Reference,"https://images-eu.ssl-images-amazon.com/images/I/81XOjJK0prL._AC_UL600_SR600,400_.jpg"
How to Win Friends and Influence People,SAR35.00,4.5 out of 5 stars,"5,569",Dale Carnegie,Paperback,Self-Esteem,"https://images-eu.ssl-images-amazon.com/images/I/611OWa8x+WL._AC_UL300_SR300,200_.jpg"
The Girl Who Never Made Mistakes,SAR77.99,4.7 out of 5 stars,"2,535",Gary Rubinstein,Hardcover,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/71Um-uEGVbL._AC_UL300_SR300,200_.jpg"
Everyone Here Is Lying: A Novel,SAR22.64,4.6 out of 5 stars,"1,029",Shari Lapena,Hardcover,Psychological Thrillers,"https://images-eu.ssl-images-amazon.com/images/I/81kBg491MFL._AC_UL300_SR300,200_.jpg"
The Ten Types of Human: Who We Are and Who We Can Be,SAR62.16,4.6 out of 5 stars,238,Dexter Dias,Paperback,Forensic Psychology,"https://images-eu.ssl-images-amazon.com/images/I/71dQ6auvKHL._AC_UL300_SR300,200_.jpg"
No More Nappies: A Potty-Training Book,SAR45.00,4.7 out of 5 stars,"9,021",Campbell Books,Board book,Early Learning for Children,"https://images-eu.ssl-images-amazon.com/images/I/81fZHA1dDhL._AC_UL600_SR600,400_.jpg"
"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",SAR74.00,4.6 out of 5 stars,"3,615",W Chan Kim,Hardcover,Parenting & Family,"https://images-eu.ssl-images-amazon.com/images/I/91YCWH4jFdL._AC_UL600_SR600,400_.jpg"
Twisted Games: the must-read bodyguard romance: 2 ,SAR65.46,4.7 out of 5 stars,"9,940",Ana Huang,Paperback,Literary Fiction,"https://images-eu.ssl-images-amazon.com/images/I/71pLR3Iy50L._AC_UL600_SR600,400_.jpg"
