,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
1,íŞæáæä ÇáÇæáíä,58,5,(73 reviews),ıæáíÏ ÇáÚäÒíı,Paperback,"Fiction & Literature,, New Arrivals, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/e/7/6/1e761c6ed4a5cad1a91dce3300843b80c41fba37_643542.jpg"
2,ÕİÍÉ æÇÍÏÉ İí ÇáãÑÉ ÑİíŞ ãÈÏÚ íæãí,59,4.5,(37 reviews),ıÃÏã Ìíå ßíÑÊÒı,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/462372.jpg"
3,ÇáãÚÇÕÑ 9 ÊÃÓíÓ ßãí æÑŞãí æãÍæÓÈ ãÚ Èäß ÇáãÍæÓÈ ÇáÌÏíÏ 80 ÇÕÏÇÑ,120,4.7,(29 reviews),ıÚãÇÏ ÇáÌÒíÑíı,Paperback,"School Textbooks,, New Arrivals, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/e/8/3/fe8352d1794102cd8bee79a01b577b1f82c2036c_641633.jpg"
4,ÇáÇÈ ÇáÛäí ÇáÇÈ ÇáİŞíÑ ãÇ íÚáãå ÇáÇËÑíÇÁ æáÇ íÚáãå ÇáİŞÑÇÁ,79,5,(24 reviews),ıÑæÈÑÊ Êí ßíæÓÇßíı,Paperback,"Jarir Publications Books,, Best Sellers,, Business & Management,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479220.jpg"
5,ãÕÍİ ÇáŞíÇã ãŞÇÓ 25×35,89,Null,Null,ıÇÏåã İÇÏíı,ÛáÇİ ãŞæì İäí,"Islamic & Religion Books,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/3/2/e/932ecff3798b1e39d71c4dc3b859cdf97c75d63f_584370.jpg"
6,ÇÈŞ ŞæíÇ 365 íæãÇ İí ÇáÓäÉ,69,4.8,(17 reviews),ıÏíãí áæİÇÊæı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/419110.jpg"
7,æÇÎÊİí ßá ÔíÁ,37,4.9,(91 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Best Sellers,, Non-Fiction,, New Arrivals,, E-Books,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/3/d/a/d3da9f41481911108f522382e7c43a991179e098_296955.jpg"
8,ÇáãÚÇÕÑ ÇááİÙí 9 æÑŞí æãÍæÓÈ 3 ÃÌÒÇÁ,96,4.9,(15 reviews),ıÚËãÇä ÚÈÏÇááåı,Paperback,"School Textbooks,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/f/5/8/5f58c45a3a2c46a467f5b9b8aa024cf2e43e4f60_641634.jpg"
9,ãä ÇáĞí ŞÊá ÇáÓíÏ ÑæÌÑ ÃßÑæíÏ,37,5,(13 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/296952.jpg"
10,áíáÉ áÇ ÊäÊåí,37,4.3,(19 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Best Sellers,, Non-Fiction,, New Arrivals,, E-Books,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411827.jpg"
